Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1970-05-01 00:00:01;1970-06-01 00:00:00;1970-05;8.9;Y
1970-06-01 00:00:01;1970-07-01 00:00:00;1970-06;15.9;Y
1970-07-01 00:00:01;1970-08-01 00:00:00;1970-07;14.0;Y
1970-08-01 00:00:01;1970-09-01 00:00:00;1970-08;14.1;Y
1970-09-01 00:00:01;1970-10-01 00:00:00;1970-09;9.8;Y
1970-10-01 00:00:01;1970-11-01 00:00:00;1970-10;6.0;Y
1970-11-01 00:00:01;1970-12-01 00:00:00;1970-11;0.5;Y
1970-12-01 00:00:01;1971-01-01 00:00:00;1970-12;-0.6;Y
1971-01-01 00:00:01;1971-02-01 00:00:00;1971-01;-2.1;Y
1971-02-01 00:00:01;1971-03-01 00:00:00;1971-02;-1.0;Y
1971-03-01 00:00:01;1971-04-01 00:00:00;1971-03;-2.2;Y
1971-04-01 00:00:01;1971-05-01 00:00:00;1971-04;3.3;Y
1971-05-01 00:00:01;1971-06-01 00:00:00;1971-05;10.7;Y
1971-06-01 00:00:01;1971-07-01 00:00:00;1971-06;12.7;Y
1971-07-01 00:00:01;1971-08-01 00:00:00;1971-07;15.6;Y
1971-08-01 00:00:01;1971-09-01 00:00:00;1971-08;14.1;Y
1971-09-01 00:00:01;1971-10-01 00:00:00;1971-09;9.1;Y
1971-10-01 00:00:01;1971-11-01 00:00:00;1971-10;6.3;Y
1971-11-01 00:00:01;1971-12-01 00:00:00;1971-11;0.7;Y
1971-12-01 00:00:01;1972-01-01 00:00:00;1971-12;1.6;Y
1972-01-01 00:00:01;1972-02-01 00:00:00;1972-01;-5.3;Y
